"Код населённого пункта;Населённый пункт;Численность населения;Код региона;Регион (область);Код федерального округа;Федеральный округ;Код страты;Страта;"
"11140;Аллах-Юнь, Республика Саха (Якутия);35;2015;Республика Саха (Якутия);4;Дальневосточный;100546;Менее 100тыс;"
"11141;Алмазный, Республика Саха (Якутия);1546;2015;Республика Саха (Якутия);4;Дальневосточный;100546;Менее 100тыс;"
"11142;Алтухово , Брянская область;1649;2036;Брянская область;1;Центральный;100546;Менее 100тыс;"
"11143;Альбурикент, Республика Дагестан;10650;2005;Республика Дагестан;8;Северо-Кавказский;100546;Менее 100тыс;"
"10131;Альметьевск, Республика Татарстан;164293;2017;Республика Татарстан;7;Приволжский;100545;От 100 тыс. до 250 тыс.;"
"11144;Амазар, Забайкальский край;1854;2024;Забайкальский край;4;Дальневосточный;100546;Менее 100тыс;"
"10311;Амурск, Хабаровский край;37204;2031;Хабаровский край;4;Дальневосточный;100546;Менее 100тыс;"
"11117;Анадырь, Чукотский автономный округ;13224;2084;Чукотский автономный округ;4;Дальневосточный;100546;Менее 100тыс;"
"10207;Анапа, Краснодарский край;84804;2026;Краснодарский край;2;Южный;100546;Менее 100тыс;"
"10463;Ангарск, Иркутская область;216973;2042;Иркутская область;5;Сибирский;100545;От 100 тыс. до 250 тыс.;"
"11145;Анджиевский, Ставропольский край;5943;2030;Ставропольский край;8;Северо-Кавказский;100546;Менее 100тыс;"
"11146;Андра, Ханты-Мансийский автономный округ - Югра;1987;2083;Ханты-Мансийский автономный округ - Югра;6;Уральский;100546;Менее 100тыс;"
"10982;Андреаполь, Тверская область;6414;2071;Тверская область;1;Центральный;100546;Менее 100тыс;"
"11147;Андреевка, Московская область;10506;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"10528;Анжеро-Судженск, Кемеровская область;63942;2045;Кемеровская область;5;Сибирский;100546;Менее 100тыс;"
"10898;Анива, Сахалинская область;9664;2067;Сахалинская область;4;Дальневосточный;100546;Менее 100тыс;"
"11148;Анна, Воронежская область;14597;2040;Воронежская область;1;Центральный;100546;Менее 100тыс;"
"11149;Апастово, Республика Татарстан;5125;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"10715;Апатиты, Мурманская область;48410;2054;Мурманская область;3;Северо-Западный;100546;Менее 100тыс;"
"10638;Апрелевка, Московская область;38955;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"10208;Апшеронск, Краснодарский край;39047;2026;Краснодарский край;2;Южный;100546;Менее 100тыс;"
"10913;Арамиль, Свердловская область;20559;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"11150;Арбаж, Кировская область;2339;2046;Кировская область;7;Приволжский;100546;Менее 100тыс;"
"10167;Аргун, Чеченская республика;42126;2021;Чеченская Республика;8;Северо-Кавказский;100546;Менее 100тыс;"
"11151;Ардатов, Нижегородская область;9033;2055;Нижегородская область;7;Приволжский;100546;Менее 100тыс;"
"10103;Ардатов, Республика Мордовия;8522;2014;Республика Мордовия;7;Приволжский;100546;Менее 100тыс;"
"10124;Ардон, Республика Северная Осетия — Алания;18960;2016;Республика Северная Осетия-Алания;8;Северо-Кавказский;100546;Менее 100тыс;"
"10731;Арзамас, Нижегородская область;103538;2055;Нижегородская область;7;Приволжский;100545;От 100 тыс. до 250 тыс.;"
"10879;Аркадак, Саратовская область;10477;2066;Саратовская область;7;Приволжский;100546;Менее 100тыс;"
"11152;Аркуль, Кировская область;1243;2046;Кировская область;7;Приволжский;100546;Менее 100тыс;"
"10209;Армавир, Краснодарский край;185356;2026;Краснодарский край;2;Южный;100545;От 100 тыс. до 250 тыс.;"
"10280;Арсеньев, Приморский край;46543;2029;Приморский край;4;Дальневосточный;100546;Менее 100тыс;"
"11153;Арсеньево, Тульская область;4648;2073;Тульская область;1;Центральный;100546;Менее 100тыс;"
"10132;Арск, Республика Татарстан;19968;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"10281;Артём, Приморский край;108274;2029;Приморский край;4;Дальневосточный;100545;От 100 тыс. до 250 тыс.;"
"10232;Артёмовск, Красноярский край;1344;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"11154;Артемовский, Иркутская область;843;2042;Иркутская область;5;Сибирский;100546;Менее 100тыс;"
"10914;Артёмовский, Свердловская область;28546;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"11155;Арти, Свердловская область;11513;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"11156;Артык, Республика Саха (Якутия);323;2015;Республика Саха (Якутия);4;Дальневосточный;100546;Менее 100тыс;"
"10327;Архангельск, Архангельская область;294914;2033;Архангельская область;3;Северо-Западный;100544;От 250 тыс. до 500 тыс.;"
"11157;Архара, Амурская область;7365;2032;Амурская область;4;Дальневосточный;100546;Менее 100тыс;"
"11158;Арья, Нижегородская область;4719;2055;Нижегородская область;7;Приволжский;100546;Менее 100тыс;"
"10915;Асбест, Свердловская область;55518;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"11005;Асино, Томская область;24401;2072;Томская область;5;Сибирский;100546;Менее 100тыс;"
"11159;Аскиз, Республика Хакасия;5132;2020;Республика Хакасия;5;Сибирский;100546;Менее 100тыс;"
"10340;Астрахань, Астраханская область;465990;2034;Астраханская область;2;Южный;100544;От 250 тыс. до 500 тыс.;"
"11160;Атагай, Иркутская область;1291;2042;Иркутская область;5;Сибирский;100546;Менее 100тыс;"
"11161;Атамановка, Забайкальский край;10966;2024;Забайкальский край;4;Дальневосточный;100546;Менее 100тыс;"
"11162;Атиг, Свердловская область;2958;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"11163;Атка, Магаданская область;6;2052;Магаданская область;4;Дальневосточный;100546;Менее 100тыс;"
"10880;Аткарск, Саратовская область;21583;2066;Саратовская область;7;Приволжский;100546;Менее 100тыс;"
"11164;Атяшево, Республика Мордовия;5866;2014;Республика Мордовия;7;Приволжский;100546;Менее 100тыс;"
"11165;Афанасьево, Кировская область;3330;2046;Кировская область;7;Приволжский;100546;Менее 100тыс;"
"11166;Афипский, Краснодарский край;24589;2026;Краснодарский край;2;Южный;100546;Менее 100тыс;"
"10341;Ахтубинск, Астраханская область;34873;2034;Астраханская область;2;Южный;100546;Менее 100тыс;"
"11167;Ахтырский, Краснодарский край;20875;2026;Краснодарский край;2;Южный;100546;Менее 100тыс;"
"10233;Ачинск, Красноярский край;99048;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"11168;Ачи-Су, Республика Дагестан;1970;2005;Республика Дагестан;8;Северо-Кавказский;100546;Менее 100тыс;"
"11169;Ачит, Свердловская область;4509;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"11170;Ачхой-Мартан, Чеченская Республика;29998;2021;Чеченская Республика;8;Северо-Кавказский;100546;Менее 100тыс;"
"11041;Аша, Челябинская область;26696;2076;Челябинская область;6;Уральский;100546;Менее 100тыс;"
"11171;Ашукино, Московская область;8850;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"10415;Бабаево, Вологодская область;11650;2039;Вологодская область;3;Северо-Западный;100546;Менее 100тыс;"
"10025;Бабушкин, Республика Бурятия;4209;2004;Республика Бурятия;4;Дальневосточный;100546;Менее 100тыс;"
"10133;Бавлы, Республика Татарстан;20897;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"11172;Бавтугай, Республика Дагестан;4485;2005;Республика Дагестан;8;Северо-Кавказский;100546;Менее 100тыс;"
"10484;Багратионовск, Калининградская область;6411;2043;Калининградская область;3;Северо-Западный;100546;Менее 100тыс;"
"11173;Базарный Карабулак, Саратовская область;8645;2066;Саратовская область;7;Приволжский;100546;Менее 100тыс;"
"11174;Базарный Сызган, Ульяновская область;4233;2075;Ульяновская область;7;Приволжский;100546;Менее 100тыс;"
"10464;Байкальск, Иркутская область;12703;2042;Иркутская область;5;Сибирский;100546;Менее 100тыс;"
"10005;Баймак, Республика Башкортостан;17507;2003;Республика Башкортостан;7;Приволжский;100546;Менее 100тыс;"
"11042;Бакал, Челябинская область;15947;2076;Челябинская область;6;Уральский;100546;Менее 100тыс;"
"10045;Баксан, Кабардино-Балкарская республика;40276;2007;Кабардино-Балкарская Республика;8;Северо-Кавказский;100546;Менее 100тыс;"
"10506;Балабаново, Калужская область;31919;2044;Калужская область;1;Центральный;100546;Менее 100тыс;"
"11175;Балакирево, Владимирская область;9258;2037;Владимирская область;1;Центральный;100546;Менее 100тыс;"
"10881;Балаково, Саратовская область;180694;2066;Саратовская область;7;Приволжский;100545;От 100 тыс. до 250 тыс.;"
"10732;Балахна, Нижегородская область;46915;2055;Нижегородская область;7;Приволжский;100546;Менее 100тыс;"
"11177;Балахнинский, Иркутская область;841;2042;Иркутская область;5;Сибирский;100546;Менее 100тыс;"
"11178;Балахта, Красноярский край;6888;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"11179;Балашейка, Самарская область;2441;2065;Самарская область;7;Приволжский;100546;Менее 100тыс;"
"10639;Балашиха, Московская область;544303;2053;Московская область;1;Центральный;100543;От 500 тыс. до 1млн.;"
"10882;Балашов, Саратовская область;71959;2066;Саратовская область;7;Приволжский;100546;Менее 100тыс;"
"10193;Балей, Забайкальский край;9880;2024;Забайкальский край;4;Дальневосточный;100546;Менее 100тыс;"
"11180;Балтаси, Республика Татарстан;8363;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"10485;Балтийск, Калининградская область;27318;2043;Калининградская область;3;Северо-Западный;100546;Менее 100тыс;"
"10769;Барабинск, Новосибирская область;27184;2057;Новосибирская область;5;Сибирский;100546;Менее 100тыс;"
"10182;Барнаул, Алтайский край;621598;2023;Алтайский край;5;Сибирский;100543;От 500 тыс. до 1млн.;"
"11181;Барсово, Ханты-Мансийский автономный округ - Югра;6374;2083;Ханты-Мансийский автономный округ - Югра;6;Уральский;100546;Менее 100тыс;"
"11035;Барыш, Ульяновская область;14205;2075;Ульяновская область;7;Приволжский;100546;Менее 100тыс;"
"11182;Батагай, Республика Саха (Якутия);3724;2015;Республика Саха (Якутия);4;Дальневосточный;100546;Менее 100тыс;"
"10835;Батайск, Ростовская область;125378;2063;Ростовская область;2;Южный;100545;От 100 тыс. до 250 тыс.;"
"11183;Бачатский, Кемеровская область - Кузбасс;12240;2045;Кемеровская область;5;Сибирский;100546;Менее 100тыс;"
"11184;Башмаково, Пензенская область;9244;2061;Пензенская область;7;Приволжский;100546;Менее 100тыс;"
"11185;Бежаницы, Псковская область;3468;2062;Псковская область;3;Северо-Западный;100546;Менее 100тыс;"
"10983;Бежецк, Тверская область;20550;2071;Тверская область;1;Центральный;100546;Менее 100тыс;"
"11186;Безенчук, Самарская область;19680;2065;Самарская область;7;Приволжский;100546;Менее 100тыс;"
"11187;Безымянный, Республика Саха (Якутия);1;2015;Республика Саха (Якутия);4;Дальневосточный;100546;Менее 100тыс;"
"11188;Беково, Пензенская область;5869;2061;Пензенская область;7;Приволжский;100546;Менее 100тыс;"
"11189;Белая Березка , Брянская область;5578;2036;Брянская область;1;Центральный;100546;Менее 100тыс;"
"11190;Белая Гора, Республика Саха (Якутия);1847;2015;Республика Саха (Якутия);4;Дальневосточный;100546;Менее 100тыс;"
"10836;Белая Калитва, Ростовская область;38597;2063;Ростовская область;2;Южный;100546;Менее 100тыс;"
"10548;Белая Холуница, Кировская область;9315;2046;Кировская область;7;Приволжский;100546;Менее 100тыс;"
"10347;Белгород, Белгородская область;321761;2035;Белгородская область;1;Центральный;100544;От 250 тыс. до 500 тыс.;"
"10006;Белебей, Республика Башкортостан;58615;2003;Республика Башкортостан;7;Приволжский;100546;Менее 100тыс;"
"11012;Белёв, Тульская область;12311;2073;Тульская область;1;Центральный;100546;Менее 100тыс;"
"11191;Белиджи, Республика Дагестан;11843;2005;Республика Дагестан;8;Северо-Кавказский;100546;Менее 100тыс;"
"10808;Белинский, Пензенская область;8382;2061;Пензенская область;7;Приволжский;100546;Менее 100тыс;"
"10529;Белово, Кемеровская область;66862;2045;Кемеровская область;5;Сибирский;100546;Менее 100тыс;"
"10318;Белогорск, Амурская область;59901;2032;Амурская область;4;Дальневосточный;100546;Менее 100тыс;"
"11192;Белогорск, Кемеровская область - Кузбасс;2125;2045;Кемеровская область;5;Сибирский;100546;Менее 100тыс;"
"10416;Белозерск, Вологодская область;7931;2039;Вологодская область;3;Северо-Западный;100546;Менее 100тыс;"
"10183;Белокуриха, Алтайский край;14873;2023;Алтайский край;5;Сибирский;100546;Менее 100тыс;"
"10060;Беломорск, Республика Карелия;7221;2010;Республика Карелия;3;Северо-Западный;100546;Менее 100тыс;"
"11193;Белоозёрский, Московская область;13437;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"11194;Белоомут, Московская область;5962;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"10007;Белорецк, Республика Башкортостан;62742;2003;Республика Башкортостан;7;Приволжский;100546;Менее 100тыс;"
"10210;Белореченск, Краснодарский край;54190;2026;Краснодарский край;2;Южный;100546;Менее 100тыс;"
"11195;Белореченский, Иркутская область;7493;2042;Иркутская область;5;Сибирский;100546;Менее 100тыс;"
"10507;Белоусово, Калужская область;10682;2044;Калужская область;1;Центральный;100546;Менее 100тыс;"
"11196;Белоярский, Свердловская область;13124;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"11101;Белоярский, Ханты-Мансийский автономный округ - Югра;19861;2083;Ханты-Мансийский автономный округ - Югра;6;Уральский;100546;Менее 100тыс;"
"11197;Белушья Губа, Архангельская область;2138;2033;Архангельская область;3;Северо-Западный;100546;Менее 100тыс;"
"11198;Белые Берега , Брянская область;7146;2036;Брянская область;1;Центральный;100546;Менее 100тыс;"
"11199;Белый Городок, Тверская область;1925;2071;Тверская область;1;Центральный;100546;Менее 100тыс;"
"11200;Белый Яр, Томская область;7642;2072;Томская область;5;Сибирский;100546;Менее 100тыс;"
"11201;Белый Яр, Ханты-Мансийский автономный округ - Югра;18385;2083;Ханты-Мансийский автономный округ - Югра;6;Уральский;100546;Менее 100тыс;"
"10984;Белый, Тверская область;2963;2071;Тверская область;1;Центральный;100546;Менее 100тыс;"
"10770;Бердск, Новосибирская область;101987;2057;Новосибирская область;5;Сибирский;100545;От 100 тыс. до 250 тыс.;"
"11202;Бердяуш, Челябинская область;3746;2076;Челябинская область;6;Уральский;100546;Менее 100тыс;"
"10256;Березники, Пермский край;132841;2028;Пермский край;7;Приволжский;100545;От 100 тыс. до 250 тыс.;"
"11203;Березовка, Красноярский край;18715;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"11204;Березово, Ханты-Мансийский автономный округ - Югра;6370;2083;Ханты-Мансийский автономный округ - Югра;6;Уральский;100546;Менее 100тыс;"
"10530;Берёзовский, Кемеровская область;43254;2045;Кемеровская область;5;Сибирский;100546;Менее 100тыс;"
"10916;Берёзовский, Свердловская область;60752;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"11205;Беринговский, Чукотский автономный округ;1278;2084;Чукотский автономный округ;4;Дальневосточный;100546;Менее 100тыс;"
"11206;Беркакит, Республика Саха (Якутия);3623;2015;Республика Саха (Якутия);4;Дальневосточный;100546;Менее 100тыс;"
"10125;Беслан, Республика Северная Осетия — Алания;36199;2016;Республика Северная Осетия-Алания;8;Северо-Кавказский;100546;Менее 100тыс;"
"10184;Бийск, Алтайский край;179211;2023;Алтайский край;5;Сибирский;100545;От 100 тыс. до 250 тыс.;"
"10312;Бикин, Хабаровский край;15482;2031;Хабаровский край;4;Дальневосточный;100546;Менее 100тыс;"
"11118;Билибино, Чукотский автономный округ;5467;2084;Чукотский автономный округ;4;Дальневосточный;100546;Менее 100тыс;"
"11207;Бира, Еврейская автономная область;2730;2081;Еврейская автономная область;4;Дальневосточный;100546;Менее 100тыс;"
"11208;Биракан, Еврейская автономная область;1695;2081;Еврейская автономная область;4;Дальневосточный;100546;Менее 100тыс;"
"11098;Биробиджан, Еврейская автономная область;67212;2081;Еврейская автономная область;4;Дальневосточный;100546;Менее 100тыс;"
"10008;Бирск, Республика Башкортостан;44611;2003;Республика Башкортостан;7;Приволжский;100546;Менее 100тыс;"
"10465;Бирюсинск, Иркутская область;8374;2042;Иркутская область;5;Сибирский;100546;Менее 100тыс;"
"10348;Бирюч, Белгородская область;6933;2035;Белгородская область;1;Центральный;100546;Менее 100тыс;"
"11209;Бисер, Пермский край;568;2028;Пермский край;7;Приволжский;100546;Менее 100тыс;"
"11210;Бисерть, Свердловская область;9005;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"11211;Бискамжа, Республика Хакасия;1127;2020;Республика Хакасия;5;Сибирский;100546;Менее 100тыс;"
"11212;Благовещенка, Алтайский край;10381;2023;Алтайский край;5;Сибирский;100546;Менее 100тыс;"
"10319;Благовещенск, Амурская область;239932;2032;Амурская область;4;Дальневосточный;100545;От 100 тыс. до 250 тыс.;"
"10009;Благовещенск, Республика Башкортостан;34988;2003;Республика Башкортостан;7;Приволжский;100546;Менее 100тыс;"
"10292;Благодарный, Ставропольский край;30632;2030;Ставропольский край;8;Северо-Кавказский;100546;Менее 100тыс;"
"11213;Благоево, Республика Коми;1832;2011;Республика Коми;3;Северо-Западный;100546;Менее 100тыс;"
"11214;Ближне-Песочное, Нижегородская область;2902;2055;Нижегородская область;7;Приволжский;100546;Менее 100тыс;"
"10430;Бобров, Воронежская область;20413;2040;Воронежская область;1;Центральный;100546;Менее 100тыс;"
"11215;Боброво, Московская область;18596;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"11216;Богатые Сабы, Республика Татарстан;9037;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"10917;Богданович, Свердловская область;29574;2068;Свердловская область;6;Уральский;100546;Менее 100тыс;"
"11013;Богородицк, Тульская область;29133;2073;Тульская область;1;Центральный;100546;Менее 100тыс;"
"10733;Богородск, Нижегородская область;33818;2055;Нижегородская область;7;Приволжский;100546;Менее 100тыс;"
"11217;Богородское, Кировская область;2103;2046;Кировская область;7;Приволжский;100546;Менее 100тыс;"
"11218;Богородское, Московская область;9705;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"10234;Боготол, Красноярский край;17245;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"10431;Богучар, Воронежская область;14165;2040;Воронежская область;1;Центральный;100546;Менее 100тыс;"
"10466;Бодайбо, Иркутская область;7503;2042;Иркутская область;5;Сибирский;100546;Менее 100тыс;"
"10597;Бокситогорск, Ленинградская область;15292;2050;Ленинградская область;3;Северо-Западный;100546;Менее 100тыс;"
"10134;Болгар, Республика Татарстан;8107;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"10985;Бологое, Тверская область;19310;2071;Тверская область;1;Центральный;100546;Менее 100тыс;"
"10771;Болотное, Новосибирская область;15308;2057;Новосибирская область;5;Сибирский;100546;Менее 100тыс;"
"11014;Болохово, Тульская область;9154;2073;Тульская область;1;Центральный;100546;Менее 100тыс;"
"10801;Болхов, Орловская область;9133;2060;Орловская область;1;Центральный;100546;Менее 100тыс;"
"11219;Большая Ижора, Ленинградская область;2516;2050;Ленинградская область;3;Северо-Западный;100546;Менее 100тыс;"
"11220;Большая Ирба, Красноярский край;3382;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"11221;Большая Мурта , Красноярский край;6927;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"11222;Большая Речка, Иркутская область;2670;2042;Иркутская область;5;Сибирский;100546;Менее 100тыс;"
"11223;Большевик, Магаданская область;4;2052;Магаданская область;4;Дальневосточный;100546;Менее 100тыс;"
"11224;Большегривское, Омская область;2982;2058;Омская область;5;Сибирский;100546;Менее 100тыс;"
"11225;Большеречье, Омская область;9649;2058;Омская область;5;Сибирский;100546;Менее 100тыс;"
"11226;Большие Вязёмы, Московская область;15168;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"11227;Большие Дворы, Московская область;5747;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"11228;Большое Козино, Нижегородская область;6505;2055;Нижегородская область;7;Приволжский;100546;Менее 100тыс;"
"11229;Большое Мурашкино, Нижегородская область;5474;2055;Нижегородская область;7;Приволжский;100546;Менее 100тыс;"
"11230;Большое Полпино , Брянская область;5721;2036;Брянская область;1;Центральный;100546;Менее 100тыс;"
"10282;Большой Камень, Приморский край;40387;2029;Приморский край;4;Дальневосточный;100546;Менее 100тыс;"
"10734;Бор, Нижегородская область;77024;2055;Нижегородская область;7;Приволжский;100546;Менее 100тыс;"
"10194;Борзя, Забайкальский край;28988;2024;Забайкальский край;4;Дальневосточный;100546;Менее 100тыс;"
"11231;Борисовка, Белгородская область;11790;2035;Белгородская область;1;Центральный;100546;Менее 100тыс;"
"10432;Борисоглебск, Воронежская область;57682;2040;Воронежская область;1;Центральный;100546;Менее 100тыс;"
"11232;Борисоглебский, Ярославская область;5347;2077;Ярославская область;1;Центральный;100546;Менее 100тыс;"
"10759;Боровичи, Новгородская область;46325;2056;Новгородская область;3;Северо-Западный;100546;Менее 100тыс;"
"11233;Боровой, Республика Коми;703;2011;Республика Коми;3;Северо-Западный;100546;Менее 100тыс;"
"10508;Боровск, Калужская область;12619;2044;Калужская область;1;Центральный;100546;Менее 100тыс;"
"10235;Бородино, Красноярский край;14758;2027;Красноярский край;5;Сибирский;100546;Менее 100тыс;"
"10467;Братск, Иркутская область;219365;2042;Иркутская область;5;Сибирский;100545;От 100 тыс. до 250 тыс.;"
"10640;Бронницы, Московская область;21050;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"10357;Брянск, Брянская область;372123;2036;Брянская область;1;Центральный;100544;От 250 тыс. до 500 тыс.;"
"11234;Бугры, Ленинградская область;34617;2050;Ленинградская область;3;Северо-Западный;100546;Менее 100тыс;"
"10135;Бугульма, Республика Татарстан;78851;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"10790;Бугуруслан, Оренбургская область;41792;2059;Оренбургская область;7;Приволжский;100546;Менее 100тыс;"
"10293;Будённовск, Ставропольский край;56258;2030;Ставропольский край;8;Северо-Кавказский;100546;Менее 100тыс;"
"11235;Будогощь, Ленинградская область;2439;2050;Ленинградская область;3;Северо-Западный;100546;Менее 100тыс;"
"10791;Бузулук, Оренбургская область;88202;2059;Оренбургская область;7;Приволжский;100546;Менее 100тыс;"
"10136;Буинск, Республика Татарстан;19495;2017;Республика Татарстан;7;Приволжский;100546;Менее 100тыс;"
"10566;Буй, Костромская область;19639;2047;Костромская область;1;Центральный;100546;Менее 100тыс;"
"10031;Буйнакск, Республика Дагестан;70190;2005;Республика Дагестан;8;Северо-Кавказский;100546;Менее 100тыс;"
"11236;Букачача, Забайкальский край;1149;2024;Забайкальский край;4;Дальневосточный;100546;Менее 100тыс;"
"11237;Бурея, Амурская область;3216;2032;Амурская область;4;Дальневосточный;100546;Менее 100тыс;"
"11238;Бурмакино, Ярославская область;2466;2077;Ярославская область;1;Центральный;100546;Менее 100тыс;"
"11239;Бурхала, Магаданская область;62;2052;Магаданская область;4;Дальневосточный;100546;Менее 100тыс;"
"11240;Бутово, Московская область;13104;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"11241;Бутурлино, Нижегородская область;6772;2055;Нижегородская область;7;Приволжский;100546;Менее 100тыс;"
"10433;Бутурлиновка, Воронежская область;23648;2040;Воронежская область;1;Центральный;100546;Менее 100тыс;"
"11242;Быково, Волгоградская область;6870;2038;Волгоградская область;2;Южный;100546;Менее 100тыс;"
"11243;Быково, Московская область;8985;2053;Московская область;1;Центральный;100546;Менее 100тыс;"
"11244;Бытошь , Брянская область;3768;2036;Брянская область;1;Центральный;100546;Менее 100тыс;"
"11245;Важины, Ленинградская область;2349;2050;Ленинградская область;3;Северо-Западный;100546;Менее 100тыс;"
"10760;Валдай, Новгородская область;13601;2056;Новгородская область;3;Северо-Западный;100546;Менее 100тыс;"
"10349;Валуйки, Белгородская область;31199;2035;Белгородская область;1;Центральный;100546;Менее 100тыс;"
"11246;Ванино, Хабаровский край;16617;2031;Хабаровский край;4;Дальневосточный;100546;Менее 100тыс;"
